song_id,appearance_count,canonical_title,current_zh,suggested_zh,zh_action,zh_confidence,zh_note,current_en,suggested_en,en_action,en_confidence,en_note,source_summary,source_urls
SONG-0454,81,Hand in Hand（初音ミク単独版）,Hand in Hand（初音ミク単独版）,Hand in Hand（初音未来单独版）,TRANSLATE,high,Base title is official English; only the archive-specific version suffix is localized.,Hand in Hand（初音ミク単独版）,Hand in Hand (Hatsune Miku Solo Version),TRANSLATE,high,Base title is official/PJSK; suffix is an archive-specific descriptive distinction.,"PJSK JP/EN/CN: Hand in Hand/Hand in Hand/Hand in Hand | VocaDB: English=Hand in Hand, Unspecified=Hand in Hand (Magical Mirai ver.) | Vocaloid Wiki page: Hand in Hand | Chinese community check: Hand in Hand（初音未来单独版）",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/89726 | https://vocaloid.fandom.com/wiki/Hand_in_Hand | https://search.bilibili.com/all?keyword=%22Hand+in+Hand%EF%BC%88%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF%E5%8D%98%E7%8B%AC%E7%89%88%EF%BC%89%22+%22Hand+in+Hand%EF%BC%88%E5%88%9D%E9%9F%B3%E6%9C%AA%E6%9D%A5%E5%8D%95%E7%8B%AC%E7%89%88%EF%BC%89%22
SONG-0229,63,それがあなたの幸せとしても,それがあなたの幸せとしても,即便那就是你的幸福,TRANSLATE,high,High-view Bilibili/PJSK community usage; alternate wording 即使那就是你的幸福 also exists.,Sorega Anata No Shiawase To Shitemo,Sorega Anata No Shiawase To Shitemo,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: それがあなたの幸せとしても/Sorega Anata No Shiawase To Shitemo/それがあなたの幸せとしても | VocaDB: Japanese=それがあなたの幸せとしても, Romaji=Sore ga Anata no Shiawase to Shite mo, English=Even If It's Your Happiness, Unspecified=Even If It's the Happiness of You, Unspecified=Even If You Assume That It is Your Happiness, Unspecified=그것이 당신의 행복이라 할지라도 | Vocaloid Wiki: English=Even If It's Your Happiness, Romaji=Sore ga Anata no Shiawase to Shite mo | Chinese community check: 即便那就是你的幸福",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/26010 | https://vocaloid.fandom.com/wiki/%E3%81%9D%E3%82%8C%E3%81%8C%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E5%B9%B8%E3%81%9B%E3%81%A8%E3%81%97%E3%81%A6%E3%82%82_%28Sore_ga_Anata_no_Shiawase_to_Shite_mo%29 | https://search.bilibili.com/all?keyword=%22%E3%81%9D%E3%82%8C%E3%81%8C%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E5%B9%B8%E3%81%9B%E3%81%A8%E3%81%97%E3%81%A6%E3%82%82%22+%22%E5%8D%B3%E4%BE%BF%E9%82%A3%E5%B0%B1%E6%98%AF%E4%BD%A0%E7%9A%84%E5%B9%B8%E7%A6%8F%22
SONG-0007,55,39みゅーじっく！,39みゅーじっく！,39みゅーじっく！,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,39Music!,39Music!,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: 39みゅーじっく！/39Music!/39みゅーじっく！ | Vocaloid Wiki: English=39 Music!, Romaji=San Kyuu Myuujikku!",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocaloid.fandom.com/wiki/39%E3%81%BF%E3%82%85%E3%83%BC%E3%81%98%E3%81%A3%E3%81%8F%EF%BC%81_%2839_Music%21%29
SONG-0258,53,ハイパーリアリティショウ,ハイパーリアリティショウ,超现实主义,REVIEW,low,"Bilibili fan-sub usage exists, but this is more interpretive than a stable title translation.",Hyper Reality Show,Hyper Reality Show,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: English=Hyper Reality Show, Romaji=Haipaa Riariti Shou | Chinese community check: 超现实主义",https://vocaloid.fandom.com/wiki/%E3%83%8F%E3%82%A4%E3%83%91%E3%83%BC%E3%83%AA%E3%82%A2%E3%83%AA%E3%83%86%E3%82%A3%E3%82%B7%E3%83%A7%E3%82%A6_%28Hyper_Reality_Show%29 | https://search.bilibili.com/all?keyword=%22%E3%83%8F%E3%82%A4%E3%83%91%E3%83%BC%E3%83%AA%E3%82%A2%E3%83%AA%E3%83%86%E3%82%A3%E3%82%B7%E3%83%A7%E3%82%A6%22+%22%E8%B6%85%E7%8E%B0%E5%AE%9E%E4%B8%BB%E4%B9%89%22
SONG-0315,53,ラッキー☆オーブ,ラッキー☆オーブ,ラッキー☆オーブ,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Lucky☆Orb,Lucky☆Orb,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: ラッキー☆オーブ/Lucky☆Orb/ラッキー☆オーブ | VocaDB: Japanese=ラッキー☆オーブ, English=Lucky☆Orb, Unspecified=럭키☆오브 | Vocaloid Wiki: Official English=Lucky☆Orb, Romaji=Rakki☆Oobu",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/217889 | https://vocaloid.fandom.com/wiki/%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E2%98%86%E3%82%AA%E3%83%BC%E3%83%96_%28Lucky%E2%98%86Orb%29
SONG-0054,51,Hand in Hand（6人版）,Hand in Hand（6人版）,Hand in Hand（6人版）,CURRENT,high,Existing zh value is outside this audit gap.,Hand in Hand（6人版）,Hand in Hand (6-Vocalist Version),TRANSLATE,medium,Base title is official/PJSK; suffix is an archive-specific descriptive distinction.,"PJSK JP/EN/CN: Hand in Hand/Hand in Hand/Hand in Hand | VocaDB: English=Hand in Hand, Unspecified=Hand in Hand (Magical Mirai ver.) | Vocaloid Wiki page: Hand in Hand",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/89726 | https://vocaloid.fandom.com/wiki/Hand_in_Hand
SONG-0195,49,キレキャリオン,キレキャリオン,キレキャリオン,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Kire Carry On,Kire Carry On,CURRENT,high,Existing en value is outside this audit gap.,"Vocaloid Wiki: Official English=Kire Carry On, English=Kill Carry On, Romaji=Kire Kyari On",https://vocaloid.fandom.com/wiki/%E3%82%AD%E3%83%AC%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%AA%E3%83%B3_%28Kire_Carry_On%29
SONG-0326,44,レッドランドマーカー,レッドランドマーカー,レッドランドマーカー,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Red Land Marker,Red Land Marker,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: レッドランドマーカー/Red Land Marker/レッドランドマーカー | VocaDB: Japanese=レッドランドマーカー, English=Red Land Marker, Unspecified=레드 랜드 마커 | Vocaloid Wiki: Official English=Red Land Marker, Romaji=Reddo Rando Maakaa",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/450680 | https://vocaloid.fandom.com/wiki/%E3%83%AC%E3%83%83%E3%83%89%E3%83%A9%E3%83%B3%E3%83%89%E3%83%9E%E3%83%BC%E3%82%AB%E3%83%BC_%28Red_Land_Marker%29
SONG-0319,41,リテラシー,リテラシー,リテラシー,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,Literacy,Literacy,CURRENT,high,Existing en value is outside this audit gap.,"VocaDB: English=Literacy, Japanese=リテラシー | Vocaloid Wiki: English=Literacy, Romaji=Ritarashi",https://vocadb.net/S/344890 | https://vocaloid.fandom.com/wiki/%E3%83%AA%E3%83%86%E3%83%A9%E3%82%B7%E3%83%BC_%28Literacy%29
SONG-0152,38,あったかいと,あったかいと,あったかいと,KEEP_ORIGINAL,low,No stable Chinese localized title found across checked sources; preserve official/original title.,AttaKAITO,AttaKAITO,CURRENT,high,Existing en value is outside this audit gap.,"PJSK JP/EN/CN: あったかいと/AttaKAITO/あったかいと | VocaDB: Japanese=あったかいと, Romaji=Attakaito, English=Warm Kaito, Unspecified=따뜻하니까 | Vocaloid Wiki: Official English=AttaKAITO, English=Warm Kaito, Romaji=Attakaito",https://github.com/Sekai-World/sekai-master-db-diff/blob/main/musics.json | https://vocadb.net/S/107188 | https://vocaloid.fandom.com/wiki/%E3%81%82%E3%81%A3%E3%81%9F%E3%81%8B%E3%81%84%E3%81%A8_%28Attakaito%29
